stat_month,city,house_type,size_segment,mom_index,yoy_index,average_index,source_url
2026-02,Shanghai,second_hand,overall,100.2,93.8,93.5,https://www.stats.gov.cn/sj/zxfbhjd/202603/t20260316_1962774.html
2026-01,Shanghai,second_hand,overall,99.6,93.2,,https://www.stats.gov.cn/sj/zxfbhjd/202602/t20260213_1962617.html
2025-12,Shanghai,second_hand,overall,99.4,93.9,97.6,https://www.stats.gov.cn/sj/zxfbhjd/202601/t20260119_1962319.html
